DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Base Experimental das Ciências Naturais,0-3-2,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Bases Biológicas para Engenharia I,3-2-5,Biologia Celular,EBIO - Engenharia Biomédica (OBR)
Bases Biológicas para Engenharia II,3-2-5,Bases Biológicas para Engenharia I,EBIO - Engenharia Biomédica (OBR)
Bases Computacionais da Ciência,0-2-2,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Bases Conceituais da Energia,2-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Bases Epistemológicas da Ciência Moderna,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Bases Matemáticas,4-0-5,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Bases Neurais da Motricidade,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Neuroanatomia,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Biocombustíveis e Biorrefinarias,4-0-4,Transformações Químicas,BQ - Bacharelado em Química (OL)
Biodiversidade: Interações entre organismos e ambiente,3-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OBR)
Bioestatística,2-2-4,Computação Científica Aplicada a Problemas Biológicos,EBIO - Engenharia Biomédica (OBR)
