DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Introdução ao Processamento de Sinais de Voz e Áudio,3-1-4,Processamento Digital de Sinais; Programação Estruturada,EINF - Engenharia de Informação (OL)
Introdução aos Processos de Fabricação,3-1-4,Sistemas CAD/CAM,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Introdução aos Processos de Fabricação Metal - Mecânico,4-2-4,Sistemas CAD/CAE; Sistemas CAM,EGES - Engenharia de Gestão (OBR)
Introdução aos Processos Pontuais,4-0-4,Introdução à Probabilidade e à Estatística; Análise Real I,BM - Bacharelado em Matemática (OL)
Introdução aos Sistemas Dinâmicos,4-0-4,Equações Diferenciais Ordinárias,BM - Bacharelado em Matemática (OL)
Introdução aos Sistemas Elétricos de Potência,4-0-5,Circuitos Elétricos II,EENE - Engenharia de Energia (OBR)
Introdução às Curvas Algébricas,4-0-4,Anéis e Corpos,BM - Bacharelado em Matemática (OL)
Introdução às Engenharias,2-0-4,Não há,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Introdução às Equações Diferenciais Ordinárias,4-0-4,Funções de Várias Variáveis,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Introdução às Humanidades e às Ciências Sociais,2-0-3,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Introdução às Políticas Públicas,4-0-4,Não há,BCE - Bacharelado em Ciências Econômicas (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Introdução às Vibrações Não Lineares,4-0-4,Vibrações,EAER - Engenharia Aeroespacial (OL)
Jogos Digitais: Aspectos Técnicos e Aplicações,1-3-4,Programação Baseada em Componentes para Jogos; Programação Orientada a Objetos,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Laboratório de Bioinformática,0-4-5,Introdução à Bioinformática,EBIO - Engenharia Biomédica (OL);BCB - Bacharelado em Ciências Biológicas (OL);BBT - Bacharelado em Biotecnologia (OL)
Laboratório de Bioprocessos,2-2-4,Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura propriedades e funções de biomoléculas; Farmacologia; Proteínas Recombinantes,BBT - Bacharelado em Biotecnologia (OBR)
Laboratório de Calor e Fluidos,0-2-2,Mecânica dos Fluidos I; Mecânica dos Fluidos II; Transferência de Calor I; Transferência de Calor II,EENE - Engenharia de Energia (OBR)
Laboratório de Engenharia de Software,0-4-4,Engenharia de Software,BCC - Bacharelado em Ciências da Computação (OL)
Laboratório de Física I,0-3-5,Fenômenos Mecânicos; Fenômenos Térmicos; Física do Contínuo; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Laboratório de Física II,0-3-5,Fenômenos Eletromagnéticos; Física Quântica; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Laboratório de Física III,0-3-5,Fenômenos Eletromagnéticos; Física Quântica; Funções de Várias Variáveis; Interações Atômicas e Moleculares,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Laboratório de Física Médica,0-3-5,Física Médica I,BFIS - Bacharelado em Física (OL);EBIO - Engenharia Biomédica (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Laboratório de Guiagem Navegação e Controle,0-4-4,Dinâmica e Controle de Veículos Espaciais,EAER - Engenharia Aeroespacial (OBR)
Laboratório de Máquinas Elétricas,0-2-4,Máquinas Elétricas,EENE - Engenharia de Energia (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Laboratório de Máquinas Térmicas e Hidráulicas,0-2-4,Mecânica dos Fluidos II; Transferência de Calor II; Termodinâmica Aplicada I; Termodinâmica Aplicada II,EENE - Engenharia de Energia (OBR)
Laboratório de Práticas Integradoras I (PCC),0-4-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Laboratório de Práticas Integradoras II (PCC),0-4-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR)
Laboratório de Propriedades Físicas de Materiais,2-2-4,Mecânica Quântica I; Estado Sólido,BFIS - Bacharelado em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Laboratório de Redes,0-4-4,Redes de Computadores,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Laboratório de Sistemas Operacionais,0-4-4,Sistemas Operacionais,BCC - Bacharelado em Ciências da Computação (OL)
Lasers e Óptica Moderna,3-1-4,Física Quântica; Óptica; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL)
Legislação Relacionada à Saúde,2-0-4,Princípios de Ética em Serviços de Saúde,EBIO - Engenharia Biomédica (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
LIBRAS,4-0-2,Não há,LFIL - Licenciatura em Filosofia (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);LFIS - Licenciatura em Física (OBR);LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BFIS - Bacharelado em Física (OL);BCB - Bacharelado em Ciências Biológicas (OL);LQ - Licenciatura em Química (OBR)
Ligações Químicas,4-0-6,Estrutura da Matéria,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Língua Latina I,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL)
Língua Latina II,4-0-4 ,Língua latina I ,BFIL - Bacharelado em Filosofia (OL)
Linguagens Formais e Automata,3-1-4,Programação Estruturada,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Livro didático no ensino de conhecimentos biológicos,2-2-4,Não há,LCB - Licenciatura em Ciências Biológicas (OL)
Livros Didáticos no Ensino de Química,4-0-4,Práticas de Ensino de Química I,LQ - Licenciatura em Química (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Lógica Básica,4-0-4,Bases Matemáticas; Bases Epistemológicas da Ciência Moderna,LFIL - Licenciatura em Filosofia (OBR);LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCH - Licenciatura em Ciências e Humanidades (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BFIL - Bacharelado em Filosofia (OBR)
Lógica e os Fundamentos da Matemática,4-0-4,Lógica Básica,LFIL - Licenciatura em Filosofia (OL)
Lógica em Sistemas de Gestão,2-2-5,Não há,EGES - Engenharia de Gestão (OL)
Lógica Programável,3-1-4,Eletrônica Digital,EINF - Engenharia de Informação (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Lógicas Não Clássicas,4-0-4,Lógica Básica,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Logística e Meio Ambiente,2-0-2,Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental; Engenharia Logística; Território e Logística,EAU - Engenharia Ambiental e Urbana (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Macroeconomia I,4-0-4,Introdução à Economia,EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Macroeconomia II,4-0-4,Introdução à Economia; Macroeconomia I,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Macroeconomia III,4-0-4,Introdução à Economia; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Macroeconomia I; Macroeconomia II,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Macroeconomia Pós-Keynesiana,4-0-4,Introdução à Economia; Introdução ao Pensamento Econômico; Macroeconomia I,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Máquinas de Fluxo,4-0-4,Mecânica dos Fluidos I,EAER - Engenharia Aeroespacial (OL)
Máquinas Elétricas,4-0-4,Circuitos Elétricos II,EENE - Engenharia de Energia (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Máquinas Térmicas de Fluxo,4-0-4,Sistemas Térmicos,EENE - Engenharia de Energia (OL)
Matemática Discreta,4-0-4,Funções de Uma Variável,BM - Bacharelado em Matemática (OBR);LM - Licenciatura em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Matemática nos Anos Iniciais,2-2-4,Didática; Desenvolvimento e Aprendizagem; Didática da Matemática,LM - Licenciatura em Matemática (OL)
Materiais Cerâmicos,4-0-4,Ciência dos Materiais,EMAT - Engenharia de Materiais (OBR)
Materiais Compósitos,3-1-4,Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos,EMAT - Engenharia de Materiais (OBR)
Materiais Compósitos e Aplicações Estruturais,4-0-4,Materiais e suas Propriedades; Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OBR)
Materiais e Suas Propriedades,3-1-5,Não há,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Materiais e Tecnologias de Conversão Fotovoltaica,2-0-2,Engenharia Solar Fotovoltaica,EENE - Engenharia de Energia (OL)
Materiais Metálicos,4-0-4,Ciência dos Materiais,EMAT - Engenharia de Materiais (OBR)
Materiais Nanoestruturados,4-0-4,Nanociência e Nanotecnologia,EMAT - Engenharia de Materiais (OL)
Materiais para Energia e Ambiente,4-0-4,Propriedades Elétricas Magnéticas e Ópticas; Propriedades Mecânicas e Térmicas,EMAT - Engenharia de Materiais (OL)
Materiais para Tecnologia da Informação,4-0-4,Propriedades Elétricas Magnéticas e Ópticas,EMAT - Engenharia de Materiais (OL)
Materiais Poliméricos,3-1-4,Ciência dos Materiais,BQ - Bacharelado em Química (OL);EMAT - Engenharia de Materiais (OBR)
Matérias Primas Cerâmicas,4-0-4,Materiais Cerâmicos,EMAT - Engenharia de Materiais (OL)
Mecânica Clássica I,4-0-4,Fenômenos Mecânicos; Física do Contínuo; Física Ondulatória; Funções de Várias Variáveis,BFIS - Bacharelado em Física (OBR);BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica Clássica II,4-0-4,Mecânica Clássica I; Cálculo Vetorial e Tensorial,BFIS - Bacharelado em Física (OBR);BM - Bacharelado em Matemática (OL)
Mecânica Clássica III,4-0-4,Mecânica Clássica II; Variáveis Complexas e Aplicações,BFIS - Bacharelado em Física (OL);BM - Bacharelado em Matemática (OL)
Mecânica dos Fluidos I,4-0-5,Fenômenos Térmicos; Funções de Uma Variável; Funções de Várias Variáveis,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OL);EBIO - Engenharia Biomédica (OL);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OL);EMAT - Engenharia de Materiais (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica dos Fluidos II,4-0-5,Mecânica dos Fluidos I,EENE - Engenharia de Energia (OBR)
Mecânica dos Sólidos I,3-1-5,Funções de Uma Variável; Fenômenos Mecânicos; Geometria Analítica; Fundamentos de Desenho Técnico,EAER - Engenharia Aeroespacial (OBR);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OBR);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica dos Sólidos II,4-0-5,Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica Estatística,6-0-6,Mecânica Clássica I; Princípios de Termodinâmica,BFIS - Bacharelado em Física (OBR);BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica Geral,4-0-4,Fenômenos Mecânicos; Geometria Analítica; Funções de Uma Variável; Funções de várias Variáveis; Introdução às Equações Diferenciais Ordinárias,LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica Quântica I,6-0-10,Física Quântica; Interações Atômicas e Moleculares; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias; Álgebra Linear,BFIS - Bacharelado em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Mecânica Quântica II,4-0-4,Mecânica Quântica I,BFIS - Bacharelado em Física (OBR)
Mecânica Quântica III,4-0-4,Mecânica Quântica II,BFIS - Bacharelado em Física (OL)
Mecanismos de Reações Orgânicas,4-0-6,Funções e Reações Orgânicas,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Meio Ambiente e Indústria,2-0-2,Não há,BQ - Bacharelado em Química (OL)
Meio Ambiente e Políticas Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Memória e Aprendizagem,4-0-4,Introdução à Neurociência; Morfofisiologia humana I; Psicologia Cognitiva; Psicologia Experimental; Biofísica de Membranas; Neurociência Teórica e Computacional; Neurobiologia Molecular e Celular; Neuroanatomia; Neuropsicofarmacologia,BN - Bacharelado em Neurociência (OL);LM - Licenciatura em Matemática (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Memória Identidades Sociais e Cidadania nas Sociedades Complexas Contemporâneas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Mercado Imobiliário,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Metafísica Analítica,4-0-4,Lógica básica,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Metafísica Clássica,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL)
Metalurgia Física,4-0-4,Materiais Metálicos,EMAT - Engenharia de Materiais (OL)
Metametafísica e Metaontologia,4-0-4,Lógica básica; Tópicos de metafísica,BFIL - Bacharelado em Filosofia (OL)
Metateoremas da Lógica Clássica,4-0-4,Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Lógica Básica,BM - Bacharelado em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Metodologia de Análise de Riscos,0-2-3,Engenharia Econômica Aplicada a Sistemas de Gestão,EGES - Engenharia de Gestão (OL)
Metodologia de Pesquisa em Relações Internacionais (TCC 1),4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Metodologia do Ensino de Geografia,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Metodologia em História,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Metodologias de Pesquisa em Educação,2-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Métodos Computacionais para Análise Estrutural,3-1-4,Cálculo Numérico; Técnicas de Análise Estrutural e Projeto,EAER - Engenharia Aeroespacial (OBR)
Métodos de Análise em Química Orgânica,4-0-6,Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental,BQ - Bacharelado em Química (OBR);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Métodos de Elementos Finitos Aplicados a Sistemas Biomédicos,2-3-5,Modelagem de Sistemas Dinâmicos II,EBIO - Engenharia Biomédica (OL)
Métodos de Formação de Imagem e de Inspeção Nuclear,2-2-5,Introdução à Física Nuclear,BFIS - Bacharelado em Física (OL)
Métodos de Otimização,4-0-4,Programação Matemática,BM - Bacharelado em Matemática (OL);BCC - Bacharelado em Ciências da Computação (OL)
Métodos de Pesquisa em Políticas Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Métodos de Planejamento,3-1-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental,1-1-4,Métodos Quantitativos para Planejamento Estratégico,EAU - Engenharia Ambiental e Urbana (OL)
Métodos e Técnicas Aplicadas às Políticas Públicas Ambientais,2-2-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Métodos e Técnicas Aplicadas às Políticas Públicas Urbanas,2-2-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Métodos e Técnicas de Análise de Informação para o Planejamento,3-1-4,Introdução à Inferência Estatística,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Métodos Empíricos para Avaliação de Políticas Públicas,4-0-4,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II,BCE - Bacharelado em Ciências Econômicas (OL)
Métodos Experimentais em Engenharia,2-2-4,Introdução às Equações Diferenciais Ordinárias; Introdução à Probabilidade e à Estatística,EAER - Engenharia Aeroespacial (OL);EAU - Engenharia Ambiental e Urbana (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OL);EGES - Engenharia de Gestão (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);EINF - Engenharia de Informação (OBR);EMAT - Engenharia de Materiais (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Métodos Matemáticos Aplicados a Sistemas Biomédicos,6-0-4,Funções de Uma Variável; Introdução às Equações Diferenciais Ordinárias; Álgebra Linear,EBIO - Engenharia Biomédica (OBR)
Métodos Numéricos em EDO’s,2-2-4,Introdução às Equações Diferenciais Ordinárias,BM - Bacharelado em Matemática (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Métodos Numéricos em EDP's,2-2-4,Álgebra Linear; Cálculo Numérico,BM - Bacharelado em Matemática (OL)
Métodos para Produção de Filosofia,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Métodos Quantitativos para Ciências Sociais,2-2-4,Introdução à Probabilidade e à Estatística,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Métodos Quantitativos para Planejamento Estratégico,1-1-4,Métodos Experimentais em Engenharia; Cartografia e Geoprocessamento,EAU - Engenharia Ambiental e Urbana (OL)
Métodos Variacionais,4-0-4,Álgebra Linear; Cálculo Vetorial e Tensorial,BM - Bacharelado em Matemática (OL)
Metrologia,2-2-4,Qualidade em Sistemas,EGES - Engenharia de Gestão (OL)
Microbiologia,4-2-4,Biodiversidade: Interações entre organismos e ambiente; Biologia Celular; Bioquímica Funcional,BQ - Bacharelado em Química (OL);BCB - Bacharelado em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);BBT - Bacharelado em Biotecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Microbiologia Ambiental,3-1-4,Transformações Químicas; bioquímica: estrutura propriedades e funções de biomoléculas; Biodiversidade: Interações entre Organismos e Ambiente,BQ - Bacharelado em Química (OL);EAU - Engenharia Ambiental e Urbana (OBR);BCB - Bacharelado em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Microeconomia I,4-0-4,Introdução à Economia,EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Microeconomia II,4-0-3,Microeconomia I,EGES - Engenharia de Gestão (OL);BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Microeconomia III,4-0-3,Microeconomia I; Microeconomia II,BCE - Bacharelado em Ciências Econômicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Microeconomia Sistêmica Ambiental,4-0-4,Microeconomia I; Microeconomia II,BCE - Bacharelado em Ciências Econômicas (OL)
Microscopia Eletrônica,2-2-4,Mecânica Quântica I; Estado Sólido,BFIS - Bacharelado em Física (OL)
Mineração de Dados,3-1-4,Inteligência Artificial; Banco de Dados,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Mobilização Produtiva dos Territórios e Desenvolvimento Local,4-0-4,Não há,BCE - Bacharelado em Ciências Econômicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Modelagem de Sistemas Dinâmicos I,2-2-4,Métodos Matemáticos aplicados a Sistemas Biomédicos; Computação Científica aplicada a Problemas Biológicos,EGES - Engenharia de Gestão (OL);EBIO - Engenharia Biomédica (OBR)
Modelagem de Sistemas Dinâmicos II,2-2-4,Modelagem de Sistemas Dinâmicos I,EBIO - Engenharia Biomédica (OBR)
Modelagem e Controle,2-0-5,Introdução às Equações Diferenciais Ordinárias,EAER - Engenharia Aeroespacial (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Modelagem e Simulação do Movimento Humano,2-2-4,Biomecânica I,EBIO - Engenharia Biomédica (OL)
Modelagem Econômica no Século XXI,4-0-4,Desenvolvimento Socioeconômico,BCE - Bacharelado em Ciências Econômicas (OL)
Modelagem Molecular de Sistemas Biológicos,3-1-4,Equações Diferenciais Ordinárias,BM - Bacharelado em Matemática (OL);BCB - Bacharelado em Ciências Biológicas (OL)
Modelos de Comunicação Nas Organizações,2-0-4,Clima e Cultura Organizacional,EGES - Engenharia de Gestão (OL);BPP - Bacharelado em Políticas Públicas (OL)
Modelos de Decisão Multicritério,0-2-3,Gestão de Operações,EGES - Engenharia de Gestão (OL)
Modelos e Ferramentas de Gestão Ambiental,3-0-3,Não há,EGES - Engenharia de Gestão (OL)
Modelos e Práticas Colaborativas em CT&I,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Modelos Econômicos e Análise das Dinâmicas Territoriais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Módulos,4-0-4,Grupos; Anéis e Corpos,BM - Bacharelado em Matemática (OL)
Monografia I - Técnicas de Pesquisa em Economia,2-3-0,Não há,BCE - Bacharelado em Ciências Econômicas (OBR)
Monografia II em Ciências Econômicas,0-8-0 ,Monografia I - Técnicas de Pesquisa em Economia,BCE - Bacharelado em Ciências Econômicas (OBR)
Monografia III em Ciências Econômicas,0-9-0,Monografia II em Ciências Econômicas,BCE - Bacharelado em Ciências Econômicas (OBR)
Morfofisiologia Animal Comparada,4-0-4,Zoologia de Invertebrados I; Zoologia de Invertebrados II; Zoologia de Vertebrados; Evolução,BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL)
Morfofisiologia Humana I,4-2-4,Biologia Celular; Neurobiologia Molecular e Celular; Histologia e Embriologia; Neuroanatomia,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Morfofisiologia Humana II,4-2-4,Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Morfofisiologia Humana III,4-2-4,Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Morfofisiologia Vegetal,2-2-4,Bioquímica: estrutura propriedades e funções de biomoléculas; Biologia Celular; Genética II,BBT - Bacharelado em Biotecnologia (OL)
Motores de Combustão Interna,2-0-4,Termodinâmica Aplicada I; Termodinâmica Aplicada II; Sistemas Térmicos,EENE - Engenharia de Energia (OL)
Movimentos Sindicais Sociais e Culturais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Mudança Tecnológica e Dinâmica Capitalista na Economia Contemporânea,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Mulher Imagem e Sociedade,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL)
Nanobiotecnologia,2-2-4,Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura propriedades e funções de biomoléculas; Farmacologia,BBT - Bacharelado em Biotecnologia (OBR)
Nanociência e Nanotecnologia,2-0-2,Física Quântica,EMAT - Engenharia de Materiais (OL)
Nanocompósitos,4-0-4,Nanociência e Nanotecnologia; Materiais Compósitos,EMAT - Engenharia de Materiais (OL)
